מאומתים חדשים - יומי,,,
תאריך,מספר מאומתים חדשים,ממוצע נע 7,מאומתים מצטבר
12-02-2020,0,7,7
13-02-2020,0,3,7
14-02-2020,0,2,7
15-02-2020,0,1,7
16-02-2020,0,1,7
17-02-2020,0,1,7
18-02-2020,0,1,7
19-02-2020,0,0,7
20-02-2020,0,0,7
21-02-2020,1,0,8
22-02-2020,0,0,8
23-02-2020,0,0,8
24-02-2020,1,0,9
25-02-2020,0,0,9
26-02-2020,0,0,9
27-02-2020,1,0,10
28-02-2020,3,0,13
29-02-2020,0,0,13
01-03-2020,1,0,14
02-03-2020,5,0,19
03-03-2020,3,1,22
04-03-2020,0,1,22
05-03-2020,2,1,24
06-03-2020,4,2,28
07-03-2020,4,2,32
08-03-2020,9,2,41
09-03-2020,4,3,45
10-03-2020,33,3,78
11-03-2020,19,8,97
12-03-2020,22,10,119
13-03-2020,35,13,154
14-03-2020,29,18,183
15-03-2020,39,21,222
16-03-2020,73,25,295
17-03-2020,94,35,389
18-03-2020,118,44,507
19-03-2020,136,58,643
20-03-2020,168,74,811
21-03-2020,210,93,1021
22-03-2020,254,119,1275
23-03-2020,352,150,1627
24-03-2020,423,190,2050
25-03-2020,425,237,2475
26-03-2020,520,281,2995
27-03-2020,435,336,3430
28-03-2020,480,374,3910
29-03-2020,531,412,4441
30-03-2020,548,452,4989
31-03-2020,738,480,5727
01-04-2020,703,525,6423
02-04-2020,720,564,7143
03-04-2020,598,592,7741
04-04-2020,428,615,8169
05-04-2020,583,608,8752
06-04-2020,451,615,9203
07-04-2020,377,602,9580
08-04-2020,338,550,9918
09-04-2020,343,499,10261
10-04-2020,359,445,10620
11-04-2020,345,411,10965
12-04-2020,552,399,11517
13-04-2020,438,395,11955
14-04-2020,399,393,12354
15-04-2020,311,396,12665
16-04-2020,297,392,12962
17-04-2020,298,385,13260
18-04-2020,291,377,13551
19-04-2020,276,369,13827
20-04-2020,299,330,14126
21-04-2020,282,310,14408
22-04-2020,225,293,14633
23-04-2020,276,281,14909
24-04-2020,248,278,15157
25-04-2020,159,271,15316
26-04-2020,83,252,15399
27-04-2020,128,224,15527
28-04-2020,159,200,15686
29-04-2020,82,182,15768
30-04-2020,142,162,15910
01-05-2020,116,143,16026
02-05-2020,57,124,16083
03-05-2020,27,109,16110
04-05-2020,53,101,16163
05-05-2020,32,90,16195
06-05-2020,65,72,16260
07-05-2020,61,70,16321
08-05-2020,33,58,16354
09-05-2020,20,46,16374
10-05-2020,29,41,16403
11-05-2020,39,41,16442
12-05-2020,23,39,16465
13-05-2020,39,38,16504
14-05-2020,22,34,16526
15-05-2020,12,29,16538
16-05-2020,5,26,16543
17-05-2020,15,24,16558
18-05-2020,27,22,16585
19-05-2020,22,20,16607
20-05-2020,15,20,16622
21-05-2020,17,16,16639
22-05-2020,19,16,16658
23-05-2020,5,17,16663
24-05-2020,13,17,16676
25-05-2020,22,16,16698
26-05-2020,50,16,16748
27-05-2020,40,20,16788
28-05-2020,77,23,16865
29-05-2020,113,32,16978
30-05-2020,29,45,17007
31-05-2020,87,49,17094
01-06-2020,100,59,17194
02-06-2020,121,70,17315
03-06-2020,97,81,17412
04-06-2020,142,89,17554
05-06-2020,127,98,17681
06-06-2020,78,100,17759
07-06-2020,140,107,17899
08-06-2020,179,115,18078
09-06-2020,174,126,18252
10-06-2020,240,133,18492
11-06-2020,192,154,18684
12-06-2020,184,161,18868
13-06-2020,149,169,19017
14-06-2020,136,179,19153
15-06-2020,198,179,19351
16-06-2020,300,181,19651
17-06-2020,271,199,19922
18-06-2020,302,204,20224
19-06-2020,310,220,20534
20-06-2020,160,238,20694
21-06-2020,173,239,20867
22-06-2020,345,244,21212
23-06-2020,452,265,21664
24-06-2020,487,287,22151
25-06-2020,516,318,22667
26-06-2020,464,349,23131
27-06-2020,398,371,23529
28-06-2020,385,405,23914
29-06-2020,756,435,24670
30-06-2020,786,494,25456
01-07-2020,971,541,26427
02-07-2020,1148,610,27575
03-07-2020,939,701,28514
04-07-2020,821,769,29335
05-07-2020,831,829,30166
06-07-2020,1134,893,31300
07-07-2020,1390,947,32690
08-07-2020,1327,1033,34017
09-07-2020,1524,1084,35541
10-07-2020,1410,1138,36951
11-07-2020,1168,1205,38119
12-07-2020,1239,1254,39358
13-07-2020,1720,1313,41078
14-07-2020,1603,1396,42681
15-07-2020,1877,1427,44558
16-07-2020,1937,1505,46495
17-07-2020,1605,1564,48100
18-07-2020,1448,1592,49548
19-07-2020,1016,1632,50564
20-07-2020,1887,1600,52451
21-07-2020,2006,1624,54457
22-07-2020,2044,1682,56501
23-07-2020,1989,1706,58490
24-07-2020,1830,1713,60320
25-07-2020,1112,1745,61432
26-07-2020,1042,1697,62474
27-07-2020,2048,1701,64522
28-07-2020,2125,1724,66647
29-07-2020,1954,1741,68601
30-07-2020,1787,1728,70388
31-07-2020,1362,1699,71750
01-08-2020,625,1632,72375
02-08-2020,708,1563,73083
03-08-2020,1800,1515,74883
04-08-2020,1729,1480,76612
05-08-2020,1690,1423,78302
06-08-2020,1677,1385,79979
07-08-2020,1764,1370,81743
08-08-2020,754,1427,82497
09-08-2020,924,1446,83421
10-08-2020,1704,1476,85125
11-08-2020,1823,1463,86948
12-08-2020,1622,1476,88570
13-08-2020,1643,1466,90213
14-08-2020,1388,1462,91601
15-08-2020,757,1408,92358
16-08-2020,1068,1408,93426
17-08-2020,1650,1429,95076
18-08-2020,1649,1421,96725
19-08-2020,1641,1396,98366
20-08-2020,1487,1399,99853
21-08-2020,1493,1377,101346
22-08-2020,711,1392,102057
23-08-2020,965,1385,103022
24-08-2020,1900,1370,104922
25-08-2020,1956,1406,106878
26-08-2020,1954,1450,108832
27-08-2020,2072,1495,110904
