חולים קשים חדשים - יומי,
תאריך,מספר חולים
02-03-2020,0
03-03-2020,0
04-03-2020,0
05-03-2020,1
06-03-2020,1
07-03-2020,1
08-03-2020,2
09-03-2020,0
10-03-2020,1
11-03-2020,1
12-03-2020,0
13-03-2020,0
14-03-2020,1
15-03-2020,3
16-03-2020,2
17-03-2020,1
18-03-2020,4
19-03-2020,5
20-03-2020,3
21-03-2020,4
22-03-2020,11
23-03-2020,7
24-03-2020,7
25-03-2020,5
26-03-2020,10
27-03-2020,13
28-03-2020,5
29-03-2020,14
30-03-2020,13
31-03-2020,16
01-04-2020,21
02-04-2020,12
03-04-2020,24
04-04-2020,17
05-04-2020,6
06-04-2020,21
07-04-2020,18
08-04-2020,22
09-04-2020,19
10-04-2020,13
11-04-2020,26
12-04-2020,21
13-04-2020,34
14-04-2020,8
15-04-2020,26
16-04-2020,19
17-04-2020,13
18-04-2020,28
19-04-2020,8
20-04-2020,11
21-04-2020,8
22-04-2020,10
23-04-2020,11
24-04-2020,9
25-04-2020,7
26-04-2020,10
27-04-2020,3
28-04-2020,6
29-04-2020,6
30-04-2020,5
01-05-2020,5
02-05-2020,7
03-05-2020,2
04-05-2020,2
05-05-2020,0
06-05-2020,3
07-05-2020,3
08-05-2020,3
09-05-2020,5
10-05-2020,4
11-05-2020,3
12-05-2020,3
13-05-2020,2
14-05-2020,2
15-05-2020,0
16-05-2020,0
17-05-2020,3
18-05-2020,1
19-05-2020,3
20-05-2020,1
21-05-2020,2
22-05-2020,0
23-05-2020,0
24-05-2020,1
25-05-2020,2
26-05-2020,1
27-05-2020,5
28-05-2020,0
29-05-2020,4
30-05-2020,0
31-05-2020,3
01-06-2020,1
02-06-2020,2
03-06-2020,1
04-06-2020,4
05-06-2020,0
06-06-2020,5
07-06-2020,5
08-06-2020,2
09-06-2020,3
10-06-2020,2
11-06-2020,6
12-06-2020,3
13-06-2020,2
14-06-2020,1
15-06-2020,7
16-06-2020,4
17-06-2020,3
18-06-2020,6
19-06-2020,6
20-06-2020,4
21-06-2020,9
22-06-2020,5
23-06-2020,4
24-06-2020,6
25-06-2020,5
26-06-2020,8
27-06-2020,1
28-06-2020,4
29-06-2020,7
30-06-2020,16
01-07-2020,10
02-07-2020,23
03-07-2020,13
04-07-2020,11
05-07-2020,16
06-07-2020,8
07-07-2020,21
08-07-2020,28
09-07-2020,34
10-07-2020,15
11-07-2020,19
12-07-2020,34
13-07-2020,51
14-07-2020,35
15-07-2020,47
16-07-2020,36
17-07-2020,27
18-07-2020,32
19-07-2020,76
20-07-2020,41
21-07-2020,40
22-07-2020,62
23-07-2020,65
24-07-2020,43
25-07-2020,29
26-07-2020,44
27-07-2020,54
28-07-2020,53
29-07-2020,59
30-07-2020,39
31-07-2020,31
01-08-2020,53
02-08-2020,56
03-08-2020,44
04-08-2020,62
05-08-2020,41
06-08-2020,47
07-08-2020,47
08-08-2020,50
09-08-2020,52
10-08-2020,50
11-08-2020,44
12-08-2020,47
13-08-2020,60
14-08-2020,43
15-08-2020,48
16-08-2020,51
17-08-2020,63
18-08-2020,62
19-08-2020,44
20-08-2020,60
21-08-2020,51
22-08-2020,39
23-08-2020,63
24-08-2020,71
25-08-2020,59
26-08-2020,54
27-08-2020,63
28-08-2020,55
29-08-2020,45
30-08-2020,65
31-08-2020,67
01-09-2020,50
02-09-2020,64
03-09-2020,40
04-09-2020,62
05-09-2020,64
06-09-2020,80
07-09-2020,65
08-09-2020,66
09-09-2020,87
10-09-2020,77
11-09-2020,59
12-09-2020,79
13-09-2020,79
14-09-2020,79
15-09-2020,76
16-09-2020,101
17-09-2020,114
18-09-2020,104
19-09-2020,83
20-09-2020,94
21-09-2020,127
22-09-2020,96
23-09-2020,128
24-09-2020,111
25-09-2020,137
26-09-2020,104
27-09-2020,126
28-09-2020,99
29-09-2020,142
30-09-2020,142
01-10-2020,140
02-10-2020,126
03-10-2020,101
04-10-2020,162
05-10-2020,117
06-10-2020,103
07-10-2020,111
08-10-2020,121
09-10-2020,86
10-10-2020,71
11-10-2020,124
12-10-2020,88
13-10-2020,81
14-10-2020,83
15-10-2020,77
16-10-2020,57
17-10-2020,48
18-10-2020,107
19-10-2020,75
20-10-2020,57
21-10-2020,59
22-10-2020,55
23-10-2020,39
24-10-2020,43
25-10-2020,46
26-10-2020,54
27-10-2020,43
28-10-2020,39
29-10-2020,28
30-10-2020,25
31-10-2020,28
01-11-2020,40
02-11-2020,45
03-11-2020,43
04-11-2020,22
05-11-2020,18
06-11-2020,26
07-11-2020,27
08-11-2020,35
09-11-2020,25
10-11-2020,23
11-11-2020,35
12-11-2020,31
13-11-2020,25
14-11-2020,23
15-11-2020,38
16-11-2020,39
17-11-2020,35
18-11-2020,30
19-11-2020,31
20-11-2020,21
21-11-2020,27
22-11-2020,34
23-11-2020,34
24-11-2020,24
25-11-2020,35
26-11-2020,29
27-11-2020,31
28-11-2020,15
29-11-2020,38
30-11-2020,34
01-12-2020,52
02-12-2020,49
03-12-2020,52
04-12-2020,46
05-12-2020,39
06-12-2020,43
07-12-2020,43
08-12-2020,32
09-12-2020,40
10-12-2020,42
11-12-2020,55
12-12-2020,46
13-12-2020,70
14-12-2020,57
15-12-2020,59
16-12-2020,64
17-12-2020,78
18-12-2020,68
19-12-2020,68
20-12-2020,69
21-12-2020,78
22-12-2020,90
23-12-2020,80
24-12-2020,87
25-12-2020,92
26-12-2020,88
27-12-2020,107
28-12-2020,101
29-12-2020,106
30-12-2020,111
31-12-2020,122
01-01-2021,118
02-01-2021,87
03-01-2021,134
04-01-2021,144
05-01-2021,158
06-01-2021,161
07-01-2021,149
08-01-2021,129
09-01-2021,146
10-01-2021,169
11-01-2021,176
12-01-2021,162
13-01-2021,177
14-01-2021,187
15-01-2021,165
16-01-2021,136
17-01-2021,182
18-01-2021,160
19-01-2021,185
20-01-2021,142
21-01-2021,163
22-01-2021,149
23-01-2021,147
24-01-2021,159
25-01-2021,184
26-01-2021,166
27-01-2021,141
28-01-2021,152
29-01-2021,117
30-01-2021,105
31-01-2021,144
01-02-2021,164
02-02-2021,155
03-02-2021,183
04-02-2021,148
05-02-2021,144
06-02-2021,110
07-02-2021,142
08-02-2021,151
09-02-2021,109
10-02-2021,136
11-02-2021,108
12-02-2021,90
13-02-2021,118
14-02-2021,144
15-02-2021,133
16-02-2021,93
17-02-2021,101
18-02-2021,82
19-02-2021,66
20-02-2021,71
21-02-2021,89
22-02-2021,109
23-02-2021,103
24-02-2021,99
25-02-2021,94
26-02-2021,82
27-02-2021,66
28-02-2021,88
01-03-2021,110
02-03-2021,89
03-03-2021,107
04-03-2021,87
05-03-2021,78
06-03-2021,99
07-03-2021,72
08-03-2021,89
09-03-2021,63
10-03-2021,78
11-03-2021,67
12-03-2021,67
13-03-2021,54
14-03-2021,81
15-03-2021,62
16-03-2021,58
