מחלימים - יומי,
תאריך,מספר מחלימים יומי
16-02-2021,3870
17-02-2021,6665
18-02-2021,7617
19-02-2021,5938
20-02-2021,3428
21-02-2021,7490
22-02-2021,3741
23-02-2021,3254
24-02-2021,5505
25-02-2021,5180
26-02-2021,3777
27-02-2021,1576
28-02-2021,5733
01-03-2021,2797
02-03-2021,2139
03-03-2021,4029
04-03-2021,4826
05-03-2021,4006
06-03-2021,1928
07-03-2021,5743
08-03-2021,2694
09-03-2021,2966
10-03-2021,4648
11-03-2021,5036
12-03-2021,3920
13-03-2021,2057
14-03-2021,5881
15-03-2021,2672
16-03-2021,2257
17-03-2021,619
