מאומתים חדשים - יומי,,,
תאריך,מספר מאומתים חדשים,ממוצע נע 7,מאומתים מצטבר
12-02-2020,0,7,7
13-02-2020,0,3,7
14-02-2020,0,2,7
15-02-2020,0,1,7
16-02-2020,0,1,7
17-02-2020,0,1,7
18-02-2020,0,1,7
19-02-2020,0,0,7
20-02-2020,0,0,7
21-02-2020,1,0,8
22-02-2020,0,0,8
23-02-2020,0,0,8
24-02-2020,1,0,9
25-02-2020,0,0,9
26-02-2020,0,0,9
27-02-2020,1,0,10
28-02-2020,3,0,13
29-02-2020,0,0,13
01-03-2020,1,0,14
02-03-2020,5,0,19
03-03-2020,3,1,22
04-03-2020,0,1,22
05-03-2020,9,1,31
06-03-2020,4,3,35
07-03-2020,4,3,39
08-03-2020,9,3,48
09-03-2020,4,4,52
10-03-2020,33,4,85
11-03-2020,19,9,104
12-03-2020,22,11,126
13-03-2020,35,13,161
14-03-2020,29,18,190
15-03-2020,40,21,230
16-03-2020,73,26,303
17-03-2020,94,35,397
18-03-2020,125,44,522
19-03-2020,136,59,658
20-03-2020,168,76,826
21-03-2020,211,95,1037
22-03-2020,254,121,1291
23-03-2020,352,151,1643
24-03-2020,423,191,2066
25-03-2020,425,238,2491
26-03-2020,520,281,3011
27-03-2020,434,336,3445
28-03-2020,479,374,3924
29-03-2020,531,412,4455
30-03-2020,548,452,5003
31-03-2020,739,480,5742
01-04-2020,703,525,6438
02-04-2020,719,563,7157
03-04-2020,599,592,7756
04-04-2020,429,615,8185
05-04-2020,585,608,8770
06-04-2020,450,616,9220
07-04-2020,377,602,9597
08-04-2020,339,550,9936
09-04-2020,343,499,10279
10-04-2020,359,446,10638
11-04-2020,345,411,10983
12-04-2020,552,399,11535
13-04-2020,438,395,11973
14-04-2020,399,393,12372
15-04-2020,311,396,12683
16-04-2020,297,392,12980
17-04-2020,298,385,13278
18-04-2020,291,377,13569
19-04-2020,276,369,13845
20-04-2020,299,330,14144
21-04-2020,282,310,14426
22-04-2020,225,293,14651
23-04-2020,276,281,14927
24-04-2020,249,278,15176
25-04-2020,159,271,15335
26-04-2020,83,252,15418
27-04-2020,127,224,15545
28-04-2020,161,200,15706
29-04-2020,82,182,15788
30-04-2020,142,162,15930
01-05-2020,116,143,16046
02-05-2020,57,124,16103
03-05-2020,27,109,16130
04-05-2020,55,101,16185
05-05-2020,33,91,16218
06-05-2020,65,73,16283
07-05-2020,61,70,16344
08-05-2020,33,59,16377
09-05-2020,20,47,16397
10-05-2020,29,42,16426
11-05-2020,39,42,16465
12-05-2020,23,40,16488
13-05-2020,39,38,16527
14-05-2020,22,34,16549
15-05-2020,12,29,16561
16-05-2020,5,26,16566
17-05-2020,15,24,16581
18-05-2020,27,22,16608
19-05-2020,22,20,16630
20-05-2020,15,20,16645
21-05-2020,17,16,16662
22-05-2020,19,16,16681
23-05-2020,5,17,16686
24-05-2020,13,17,16699
25-05-2020,22,16,16721
26-05-2020,50,16,16771
27-05-2020,40,20,16811
28-05-2020,77,23,16888
29-05-2020,113,32,17001
30-05-2020,29,45,17030
31-05-2020,87,49,17117
01-06-2020,100,59,17217
02-06-2020,121,70,17338
03-06-2020,97,81,17435
04-06-2020,142,89,17577
05-06-2020,127,98,17704
06-06-2020,78,100,17782
07-06-2020,140,107,17922
08-06-2020,179,115,18101
09-06-2020,174,126,18275
10-06-2020,240,133,18515
11-06-2020,192,154,18707
12-06-2020,184,161,18891
13-06-2020,149,169,19040
14-06-2020,136,179,19176
15-06-2020,199,179,19375
16-06-2020,299,182,19674
17-06-2020,271,199,19945
18-06-2020,302,204,20247
19-06-2020,310,220,20557
20-06-2020,161,238,20718
21-06-2020,173,239,20891
22-06-2020,345,245,21236
23-06-2020,452,265,21688
24-06-2020,487,287,22175
25-06-2020,516,318,22691
26-06-2020,464,349,23155
27-06-2020,398,371,23553
28-06-2020,386,405,23939
29-06-2020,756,435,24695
30-06-2020,789,494,25484
01-07-2020,971,542,26455
02-07-2020,1149,611,27604
03-07-2020,941,701,28545
04-07-2020,821,770,29366
05-07-2020,831,830,30197
06-07-2020,1134,894,31331
07-07-2020,1390,948,32721
08-07-2020,1327,1033,34048
09-07-2020,1525,1084,35573
10-07-2020,1410,1138,36983
11-07-2020,1168,1205,38151
12-07-2020,1239,1255,39390
13-07-2020,1718,1313,41108
14-07-2020,1602,1396,42710
15-07-2020,1877,1427,44587
16-07-2020,1937,1505,46524
17-07-2020,1605,1564,48129
18-07-2020,1448,1592,49577
19-07-2020,1016,1632,50593
20-07-2020,1887,1600,52480
21-07-2020,2006,1624,54486
22-07-2020,2044,1682,56530
23-07-2020,1989,1706,58519
24-07-2020,1831,1713,60350
25-07-2020,1112,1745,61462
26-07-2020,1042,1697,62504
27-07-2020,2050,1701,64554
28-07-2020,2125,1724,66679
29-07-2020,1957,1741,68636
30-07-2020,1788,1729,70424
31-07-2020,1362,1700,71786
01-08-2020,625,1633,72411
02-08-2020,709,1564,73120
03-08-2020,1800,1516,74920
04-08-2020,1729,1480,76649
05-08-2020,1690,1424,78339
06-08-2020,1677,1386,80016
07-08-2020,1765,1370,81781
08-08-2020,754,1427,82535
09-08-2020,924,1446,83459
10-08-2020,1704,1477,85163
11-08-2020,1824,1463,86987
12-08-2020,1622,1476,88609
13-08-2020,1644,1467,90253
14-08-2020,1388,1462,91641
15-08-2020,757,1408,92398
16-08-2020,1068,1409,93466
17-08-2020,1650,1429,95116
18-08-2020,1649,1421,96765
19-08-2020,1641,1396,98406
20-08-2020,1487,1399,99893
21-08-2020,1494,1377,101387
22-08-2020,711,1392,102098
23-08-2020,965,1385,103063
24-08-2020,1901,1371,104964
25-08-2020,1959,1406,106923
26-08-2020,1985,1451,108908
27-08-2020,2105,1500,111013
