מספר מתחסנים,,
תאריך,מתחסנים מנה ראשונה,מתחסנים מנה שנייה
19-12-2020,60,0
20-12-2020,7419,0
21-12-2020,32303,0
22-12-2020,76915,0
23-12-2020,139748,0
24-12-2020,213075,0
25-12-2020,251524,0
26-12-2020,284099,0
27-12-2020,388464,0
28-12-2020,523262,0
29-12-2020,679204,0
30-12-2020,831923,0
31-12-2020,990098,0
01-01-2021,1061330,0
02-01-2021,1132953,0
03-01-2021,1282350,0
04-01-2021,1434186,1
05-01-2021,1559032,1
06-01-2021,1662104,1
07-01-2021,1777922,4
08-01-2021,1844215,7
09-01-2021,1888669,29
10-01-2021,1926216,6003
11-01-2021,1947231,25238
12-01-2021,1971137,60873
13-01-2021,2023049,117687
14-01-2021,2079353,186439
15-01-2021,2109967,222320
16-01-2021,2139334,248298
17-01-2021,2207583,332751
18-01-2021,2277108,452956
19-01-2021,2349683,590473
20-01-2021,2426211,733864
21-01-2021,2495788,897808
22-01-2021,2533502,968729
23-01-2021,2573349,1022201
24-01-2021,2642282,1162532
25-01-2021,2723013,1301693
26-01-2021,2801494,1427751
27-01-2021,2879179,1552469
28-01-2021,2958590,1682754
29-01-2021,2995112,1747360
30-01-2021,3029398,1790023
31-01-2021,3102573,1849361
01-02-2021,3184847,1884566
02-02-2021,3254708,1915510
03-02-2021,3314777,1966771
04-02-2021,3387165,2024688
05-02-2021,3420939,2053343
06-02-2021,3442472,2075480
07-02-2021,3496418,2144014
08-02-2021,3554896,2209215
09-02-2021,3621016,2276483
10-02-2021,3691347,2348421
11-02-2021,3772235,2419940
12-02-2021,3811172,2457347
13-02-2021,3838561,2487690
14-02-2021,3913293,2556551
15-02-2021,3994613,2632033
16-02-2021,4077928,2710066
17-02-2021,4139730,2785390
18-02-2021,4208707,2864877
19-02-2021,4248266,2902866
20-02-2021,4279849,2931509
21-02-2021,4359162,3009846
22-02-2021,4444036,3090196
23-02-2021,4521230,3160417
24-02-2021,4582104,3223277
25-02-2021,4633610,3287816
26-02-2021,4659362,3319699
27-02-2021,4677619,3340820
28-02-2021,4717786,3396523
01-03-2021,4763292,3457788
02-03-2021,4804296,3522308
03-03-2021,4846085,3588858
04-03-2021,4885572,3667698
05-03-2021,4902737,3708020
06-03-2021,4913304,3733296
07-03-2021,4944268,3805968
08-03-2021,4971437,3879036
09-03-2021,4997938,3955509
10-03-2021,5021028,4014008
11-03-2021,5044087,4082887
12-03-2021,5055185,4124180
13-03-2021,5063032,4149360
14-03-2021,5083864,4223185
15-03-2021,5103770,4301226
16-03-2021,5122300,4372575
17-03-2021,5139801,4431401
18-03-2021,5155628,4489360
19-03-2021,5162381,4517228
20-03-2021,5167497,4532454
21-03-2021,5180521,4572815
22-03-2021,5193861,4613184
23-03-2021,5196461,4620337
24-03-2021,5207244,4666682
25-03-2021,5217241,4701936
26-03-2021,5221238,4715148
27-03-2021,5222948,4719348
28-03-2021,5224985,4723895
29-03-2021,5231736,4753749
30-03-2021,5239386,4775980
31-03-2021,5247332,4795227
01-04-2021,5255273,4813694
02-04-2021,5258042,4821658
03-04-2021,5259381,4824536
04-04-2021,5268906,4847250
05-04-2021,5279062,4868326
06-04-2021,5287821,4884872
07-04-2021,5296491,4899959
08-04-2021,5305650,4916701
09-04-2021,5309012,4922754
10-04-2021,5310503,4926183
11-04-2021,5319398,4940274
12-04-2021,5328098,4953294
13-04-2021,5333689,4958072
14-04-2021,5337112,4963179
15-04-2021,5337560,4963592
16-04-2021,5340748,4970049
17-04-2021,5341491,4971961
18-04-2021,5348453,4979312
19-04-2021,5354657,4986278
20-04-2021,5360700,4992961
21-04-2021,5366852,4999859
22-04-2021,5372594,5007324
23-04-2021,5375177,5010556
24-04-2021,5375856,5011767
25-04-2021,5380573,5018590
26-04-2021,5385901,5026313
27-04-2021,5390248,5032724
28-04-2021,5394555,5039816
29-04-2021,5398743,5046900
30-04-2021,5400481,5049891
01-05-2021,5400860,5050711
02-05-2021,5404026,5056654
03-05-2021,5407427,5062280
04-05-2021,5410809,5066805
05-05-2021,5413915,5070661
06-05-2021,5417353,5073576
07-05-2021,5419015,5075856
08-05-2021,5419188,5076278
09-05-2021,5421954,5080902
10-05-2021,5424717,5085423
11-05-2021,5427127,5089061
12-05-2021,5428941,5092155
13-05-2021,5430756,5095629
14-05-2021,5431525,5096961
15-05-2021,5431656,5097134
16-05-2021,5432081,5098269
17-05-2021,5432266,5099021
18-05-2021,5434076,5103818
19-05-2021,5436104,5108692
20-05-2021,5438196,5112403
21-05-2021,5439197,5113624
22-05-2021,5439336,5113946
23-05-2021,5441534,5117061
24-05-2021,5443510,5120518
25-05-2021,5445152,5122954
26-05-2021,5446364,5125261
27-05-2021,5447994,5128203
28-05-2021,5448609,5129443
29-05-2021,5448712,5129604
30-05-2021,5450246,5131447
31-05-2021,5451761,5133391
01-06-2021,5452923,5135053
02-06-2021,5454208,5136474
03-06-2021,5455708,5137759
04-06-2021,5456630,5138305
05-06-2021,5456730,5138371
06-06-2021,5460902,5139241
07-06-2021,5465121,5139901
08-06-2021,5468667,5140911
09-06-2021,5472119,5142034
10-06-2021,5475299,5143150
11-06-2021,5476537,5143551
12-06-2021,5476674,5143640
13-06-2021,5479698,5144803
14-06-2021,5482573,5146145
15-06-2021,5485519,5147322
16-06-2021,5488079,5148148
17-06-2021,5490619,5149147
18-06-2021,5491702,5149467
19-06-2021,5491842,5149544
20-06-2021,5495050,5150492
21-06-2021,5495050,5150492
