מספר מתחסנים - יומי,,
תאריך,מתחסנים מנה ראשונה,מתחסנים מנה שנייה
19-12-2020,43,0
20-12-2020,7359,0
21-12-2020,24884,0
22-12-2020,44612,0
23-12-2020,62833,0
24-12-2020,73327,0
25-12-2020,38449,0
26-12-2020,32575,0
27-12-2020,104365,0
28-12-2020,134798,0
29-12-2020,155942,0
30-12-2020,152719,0
31-12-2020,158175,0
01-01-2021,71232,0
02-01-2021,71623,0
03-01-2021,149397,0
04-01-2021,151836,1
05-01-2021,124846,0
06-01-2021,103072,0
07-01-2021,115818,3
08-01-2021,66293,3
09-01-2021,44454,22
10-01-2021,37547,5974
11-01-2021,21015,19235
12-01-2021,23906,35635
13-01-2021,51912,56814
14-01-2021,56304,68752
15-01-2021,30614,35881
16-01-2021,29367,25978
17-01-2021,68249,84453
18-01-2021,69525,120205
19-01-2021,72575,137517
20-01-2021,76528,143391
21-01-2021,69577,163944
22-01-2021,37714,70921
23-01-2021,39847,53472
24-01-2021,68933,140331
25-01-2021,80731,139161
26-01-2021,78481,126058
27-01-2021,77685,124718
28-01-2021,79411,130285
29-01-2021,36522,64606
30-01-2021,34286,42663
31-01-2021,73175,59338
01-02-2021,82274,35205
02-02-2021,69861,30944
03-02-2021,60069,51261
04-02-2021,72388,57917
05-02-2021,33774,28655
06-02-2021,21533,22137
07-02-2021,53946,68534
08-02-2021,58478,65201
09-02-2021,66120,67268
10-02-2021,70331,71938
11-02-2021,80888,71519
12-02-2021,38937,37407
13-02-2021,27389,30343
14-02-2021,74732,68861
15-02-2021,81320,75482
16-02-2021,83315,78033
17-02-2021,61802,75324
18-02-2021,68977,79487
19-02-2021,39559,37989
20-02-2021,31583,28643
21-02-2021,79313,78337
22-02-2021,84874,80350
23-02-2021,77194,70221
24-02-2021,60874,62860
25-02-2021,51506,64539
26-02-2021,25752,31883
27-02-2021,18257,21121
28-02-2021,40167,55703
01-03-2021,45506,61265
02-03-2021,41004,64520
03-03-2021,41789,66550
04-03-2021,39487,78840
05-03-2021,17165,40322
06-03-2021,10567,25276
07-03-2021,30964,72672
08-03-2021,27169,73068
09-03-2021,26501,76473
10-03-2021,23090,58499
11-03-2021,23059,68879
12-03-2021,11098,41293
13-03-2021,7847,25180
14-03-2021,20832,73825
15-03-2021,19906,78041
16-03-2021,18530,71349
17-03-2021,17501,58826
18-03-2021,15827,57959
19-03-2021,6753,27868
20-03-2021,5116,15226
21-03-2021,13024,40361
22-03-2021,13340,40369
23-03-2021,2600,7153
24-03-2021,10783,46345
25-03-2021,9997,35254
26-03-2021,3997,13212
27-03-2021,1710,4200
28-03-2021,2037,4547
29-03-2021,6751,29854
30-03-2021,7650,22231
31-03-2021,7946,19247
01-04-2021,7941,18467
02-04-2021,2769,7964
03-04-2021,1339,2878
04-04-2021,9525,22714
05-04-2021,10156,21076
06-04-2021,8759,16546
07-04-2021,8670,15087
08-04-2021,9159,16742
09-04-2021,3362,6053
10-04-2021,1491,3429
11-04-2021,8895,14091
12-04-2021,8700,13020
13-04-2021,5591,4778
14-04-2021,3423,5107
15-04-2021,448,413
16-04-2021,3188,6457
17-04-2021,743,1912
18-04-2021,6962,7351
19-04-2021,6204,6966
20-04-2021,6043,6683
21-04-2021,6152,6898
22-04-2021,5742,7465
23-04-2021,2583,3232
24-04-2021,679,1211
25-04-2021,4717,6823
26-04-2021,5328,7723
27-04-2021,4347,6411
28-04-2021,4307,7092
29-04-2021,4188,7084
30-04-2021,1738,2991
01-05-2021,379,820
02-05-2021,3166,5943
03-05-2021,3401,5626
04-05-2021,3382,4525
05-05-2021,3106,3856
06-05-2021,3438,2915
07-05-2021,1662,2280
08-05-2021,173,422
09-05-2021,2766,4624
10-05-2021,2763,4521
11-05-2021,2410,3638
12-05-2021,1814,3094
13-05-2021,1815,3474
14-05-2021,769,1332
15-05-2021,131,173
16-05-2021,425,1135
17-05-2021,185,752
18-05-2021,1810,4797
19-05-2021,2028,4874
20-05-2021,2092,3711
21-05-2021,1001,1221
22-05-2021,139,322
23-05-2021,2198,3115
24-05-2021,1976,3457
25-05-2021,1642,2436
26-05-2021,1212,2307
27-05-2021,1630,2942
28-05-2021,615,1240
29-05-2021,103,161
30-05-2021,1534,1843
31-05-2021,1515,1944
01-06-2021,1162,1662
02-06-2021,1285,1421
03-06-2021,1500,1285
04-06-2021,922,546
05-06-2021,100,66
06-06-2021,4172,870
07-06-2021,4219,660
08-06-2021,3546,1010
09-06-2021,3452,1123
10-06-2021,3180,1116
11-06-2021,1238,401
12-06-2021,137,89
13-06-2021,3024,1163
14-06-2021,2875,1342
15-06-2021,2946,1177
16-06-2021,2560,826
17-06-2021,2540,999
18-06-2021,1083,320
19-06-2021,140,77
20-06-2021,3208,948
21-06-2021,0,0
