מחלימים - יומי,
תאריך,מספר מחלימים יומי
12-02-2020,0
13-02-2020,0
14-02-2020,0
15-02-2020,0
16-02-2020,0
17-02-2020,0
18-02-2020,0
19-02-2020,0
20-02-2020,0
21-02-2020,0
22-02-2020,0
23-02-2020,0
24-02-2020,0
25-02-2020,0
26-02-2020,0
27-02-2020,0
28-02-2020,0
29-02-2020,0
01-03-2020,0
02-03-2020,0
03-03-2020,0
04-03-2020,0
05-03-2020,0
06-03-2020,0
07-03-2020,0
08-03-2020,0
09-03-2020,0
10-03-2020,0
11-03-2020,0
12-03-2020,0
13-03-2020,1
14-03-2020,0
15-03-2020,0
16-03-2020,0
17-03-2020,2
18-03-2020,2
19-03-2020,4
20-03-2020,1
21-03-2020,1
22-03-2020,4
23-03-2020,6
24-03-2020,5
25-03-2020,6
26-03-2020,10
27-03-2020,18
28-03-2020,9
29-03-2020,15
30-03-2020,33
31-03-2020,43
01-04-2020,154
02-04-2020,80
03-04-2020,57
04-04-2020,53
05-04-2020,102
06-04-2020,121
07-04-2020,122
08-04-2020,107
09-04-2020,113
10-04-2020,129
11-04-2020,121
12-04-2020,257
13-04-2020,282
14-04-2020,293
15-04-2020,280
16-04-2020,324
17-04-2020,357
18-04-2020,246
19-04-2020,383
20-04-2020,449
21-04-2020,372
22-04-2020,392
23-04-2020,330
24-04-2020,337
25-04-2020,377
26-04-2020,431
27-04-2020,467
28-04-2020,560
29-04-2020,352
30-04-2020,424
01-05-2020,419
02-05-2020,280
03-05-2020,291
04-05-2020,260
05-05-2020,317
06-05-2020,260
07-05-2020,229
08-05-2020,223
09-05-2020,89
10-05-2020,171
11-05-2020,331
12-05-2020,258
13-05-2020,182
14-05-2020,242
15-05-2020,162
16-05-2020,104
17-05-2020,153
18-05-2020,277
19-05-2020,154
20-05-2020,114
21-05-2020,125
22-05-2020,163
23-05-2020,44
24-05-2020,116
25-05-2020,133
26-05-2020,91
27-05-2020,62
28-05-2020,115
29-05-2020,39
30-05-2020,40
31-05-2020,61
01-06-2020,68
02-06-2020,53
