מספר מתחסנים - מצטבר,,
תאריך,מתחסנים מנה ראשונה,מתחסנים מנה שנייה
19-12-2020,61,0
20-12-2020,7431,0
21-12-2020,32325,0
22-12-2020,76986,0
23-12-2020,139980,0
24-12-2020,213594,0
25-12-2020,252358,0
26-12-2020,285234,0
27-12-2020,390353,0
28-12-2020,526315,0
29-12-2020,683740,0
30-12-2020,838083,0
31-12-2020,997769,0
01-01-2021,1069931,0
02-01-2021,1142370,0
03-01-2021,1293428,0
04-01-2021,1446615,2
05-01-2021,1573414,2
06-01-2021,1678272,2
07-01-2021,1795750,5
08-01-2021,1862902,8
09-01-2021,1907903,30
10-01-2021,1946038,6013
11-01-2021,1967477,25252
12-01-2021,1991753,60911
13-01-2021,2044225,117847
14-01-2021,2101043,186775
15-01-2021,2132048,222913
16-01-2021,2161752,249119
17-01-2021,2230145,333732
18-01-2021,2299614,453820
19-01-2021,2372184,591226
20-01-2021,2448668,734507
21-01-2021,2518194,898269
22-01-2021,2555888,969123
23-01-2021,2595698,1022564
24-01-2021,2664592,1162792
25-01-2021,2745270,1301842
26-01-2021,2823712,1427781
27-01-2021,2901335,1552356
28-01-2021,2980673,1682517
29-01-2021,3017169,1747072
30-01-2021,3051409,1789715
31-01-2021,3124513,1848995
01-02-2021,3206670,1884187
02-02-2021,3276449,1915078
03-02-2021,3336452,1966258
04-02-2021,3408792,2024091
05-02-2021,3442540,2052718
06-02-2021,3464050,2074835
07-02-2021,3517954,2143270
08-02-2021,3576384,2208360
09-02-2021,3642424,2275541
10-02-2021,3712645,2347394
11-02-2021,3793413,2418855
12-02-2021,3832319,2456232
13-02-2021,3859683,2486547
14-02-2021,3934278,2555321
15-02-2021,4015514,2630692
16-02-2021,4098757,2708615
17-02-2021,4160463,2783827
18-02-2021,4229357,2863113
19-02-2021,4268861,2901050
20-02-2021,4300401,2929586
21-02-2021,4379586,3007807
22-02-2021,4464268,3087844
23-02-2021,4541238,3157809
24-02-2021,4601993,3220449
25-02-2021,4653179,3284717
26-02-2021,4678100,3315710
27-02-2021,4695647,3336160
28-02-2021,4735590,3390973
01-03-2021,4781099,3452117
02-03-2021,4822013,3516445
03-03-2021,4864029,3582667
04-03-2021,4903247,3659034
05-03-2021,4920429,3695468
06-03-2021,4931106,3720688
07-03-2021,4962090,3793173
08-03-2021,4997001,3865871
09-03-2021,5036968,3942165
10-03-2021,5073739,4000526
11-03-2021,5111445,4069205
12-03-2021,5122575,4110409
13-03-2021,5130468,4135534
14-03-2021,5165723,4209104
15-03-2021,5165723,4209104
