מספר מתחסנים - יומי,,
תאריך,מתחסנים מנה ראשונה,מתחסנים מנה שנייה
19-12-2020,43,0
20-12-2020,7370,0
21-12-2020,24894,0
22-12-2020,44661,0
23-12-2020,62994,0
24-12-2020,73614,0
25-12-2020,38764,0
26-12-2020,32876,0
27-12-2020,105119,0
28-12-2020,135962,0
29-12-2020,157425,0
30-12-2020,154343,0
31-12-2020,159686,0
01-01-2021,72162,0
02-01-2021,72439,0
03-01-2021,151058,0
04-01-2021,153187,2
05-01-2021,126799,0
06-01-2021,104858,0
07-01-2021,117478,3
08-01-2021,67152,3
09-01-2021,45001,22
10-01-2021,38135,5983
11-01-2021,21439,19239
12-01-2021,24276,35659
13-01-2021,52472,56936
14-01-2021,56818,68928
15-01-2021,31005,36138
16-01-2021,29704,26206
17-01-2021,68393,84613
18-01-2021,69469,120088
19-01-2021,72570,137406
20-01-2021,76484,143281
21-01-2021,69526,163762
22-01-2021,37694,70854
23-01-2021,39810,53441
24-01-2021,68894,140228
25-01-2021,80678,139050
26-01-2021,78442,125939
27-01-2021,77623,124575
28-01-2021,79338,130161
29-01-2021,36496,64555
30-01-2021,34240,42643
31-01-2021,73104,59280
01-02-2021,82157,35192
02-02-2021,69779,30891
03-02-2021,60003,51180
04-02-2021,72340,57833
05-02-2021,33748,28627
06-02-2021,21510,22117
07-02-2021,53904,68435
08-02-2021,58430,65090
09-02-2021,66040,67181
10-02-2021,70221,71853
11-02-2021,80768,71461
12-02-2021,38906,37377
13-02-2021,27364,30315
14-02-2021,74595,68774
15-02-2021,81236,75371
16-02-2021,83243,77923
17-02-2021,61706,75212
18-02-2021,68894,79286
19-02-2021,39504,37937
20-02-2021,31540,28536
21-02-2021,79185,78221
22-02-2021,84682,80037
23-02-2021,76970,69965
24-02-2021,60755,62640
25-02-2021,51186,64268
26-02-2021,24921,30993
27-02-2021,17547,20450
28-02-2021,39943,54813
01-03-2021,45509,61144
02-03-2021,40914,64328
03-03-2021,42016,66222
04-03-2021,39218,76367
05-03-2021,17182,36434
06-03-2021,10677,25220
07-03-2021,30984,72485
08-03-2021,34911,72698
09-03-2021,39967,76294
10-03-2021,36771,58361
11-03-2021,37706,68679
12-03-2021,11130,41204
13-03-2021,7893,25125
14-03-2021,35255,73570
15-03-2021,0,0
