מחלימים - יומי,
תאריך,מספר מחלימים יומי
12-02-2020,0
13-02-2020,0
14-02-2020,0
15-02-2020,0
16-02-2020,0
17-02-2020,0
18-02-2020,0
19-02-2020,0
20-02-2020,0
21-02-2020,0
22-02-2020,0
23-02-2020,0
24-02-2020,0
25-02-2020,0
26-02-2020,0
27-02-2020,0
28-02-2020,0
29-02-2020,0
01-03-2020,0
02-03-2020,0
03-03-2020,0
04-03-2020,0
05-03-2020,0
06-03-2020,0
07-03-2020,0
08-03-2020,0
09-03-2020,0
10-03-2020,0
11-03-2020,0
12-03-2020,0
13-03-2020,1
14-03-2020,0
15-03-2020,0
16-03-2020,0
17-03-2020,2
18-03-2020,2
19-03-2020,4
20-03-2020,1
21-03-2020,1
22-03-2020,4
23-03-2020,6
24-03-2020,5
25-03-2020,6
26-03-2020,10
27-03-2020,18
28-03-2020,9
29-03-2020,15
30-03-2020,33
31-03-2020,43
01-04-2020,85
02-04-2020,83
03-04-2020,56
04-04-2020,55
05-04-2020,98
06-04-2020,119
07-04-2020,121
08-04-2020,107
09-04-2020,111
10-04-2020,127
11-04-2020,120
12-04-2020,260
13-04-2020,281
14-04-2020,287
15-04-2020,272
16-04-2020,323
17-04-2020,350
18-04-2020,243
19-04-2020,384
20-04-2020,446
21-04-2020,370
22-04-2020,386
23-04-2020,333
24-04-2020,339
25-04-2020,373
26-04-2020,423
27-04-2020,456
28-04-2020,547
29-04-2020,332
30-04-2020,415
01-05-2020,406
02-05-2020,283
03-05-2020,296
04-05-2020,256
05-05-2020,309
06-05-2020,254
07-05-2020,226
08-05-2020,219
09-05-2020,83
10-05-2020,168
11-05-2020,315
12-05-2020,254
13-05-2020,180
14-05-2020,235
15-05-2020,157
16-05-2020,102
17-05-2020,151
18-05-2020,273
19-05-2020,153
20-05-2020,114
21-05-2020,128
22-05-2020,162
23-05-2020,44
24-05-2020,115
25-05-2020,127
26-05-2020,92
27-05-2020,61
28-05-2020,116
29-05-2020,36
30-05-2020,40
31-05-2020,60
01-06-2020,69
02-06-2020,54
